Node_ID	X	Y	Z	Type
8498	-28.975	28.975	-0.75	internal
8511	-25.925	-28.975	-0.75	internal
8554	-25.925	28.975	-0.75	internal
8567	-23.79	-28.975	-0.75	internal
8610	-23.79	28.975	-0.75	internal
8623	-22.57	-28.975	-0.75	internal
8666	-22.57	28.975	-0.75	internal
8679	-21.35	-28.975	-0.75	internal
8722	-21.35	28.975	-0.75	internal
8735	-20.13	-28.975	-0.75	internal
8778	-20.13	28.975	-0.75	internal
8791	-18.91	-28.975	-0.75	internal
8834	-18.91	28.975	-0.75	internal
8847	-17.69	-28.975	-0.75	internal
8890	-17.69	28.975	-0.75	internal
8903	-16.47	-28.975	-0.75	internal
8946	-16.47	28.975	-0.75	internal
8959	-15.25	-28.975	-0.75	internal
9002	-15.25	28.975	-0.75	internal
9015	-14.03	-28.975	-0.75	internal
9058	-14.03	28.975	-0.75	internal
9071	-12.81	-28.975	-0.75	internal
9114	-12.81	28.975	-0.75	internal
9127	-11.59	-28.975	-0.75	internal
9170	-11.59	28.975	-0.75	internal
9183	-10.37	-28.975	-0.75	internal
9226	-10.37	28.975	-0.75	internal
9239	-9.15	-28.975	-0.75	internal
9282	-9.15	28.975	-0.75	internal
9295	-7.93	-28.975	-0.75	internal
9338	-7.93	28.975	-0.75	internal
9351	-6.71	-28.975	-0.75	internal
9394	-6.71	28.975	-0.75	internal
9407	-5.49	-28.975	-0.75	internal
9450	-5.49	28.975	-0.75	internal
9463	-4.27	-28.975	-0.75	internal
9506	-4.27	28.975	-0.75	internal
9519	-3.05	-28.975	-0.75	internal
9562	-3.05	28.975	-0.75	internal
9575	-1.83	-28.975	-0.75	internal
9618	-1.83	28.975	-0.75	internal
9631	-0.61	-28.975	-0.75	internal
9674	-0.61	28.975	-0.75	internal
9687	0.61	-28.975	-0.75	internal
9730	0.61	28.975	-0.75	internal
9743	1.83	-28.975	-0.75	internal
9786	1.83	28.975	-0.75	internal
9799	3.05	-28.975	-0.75	internal
9842	3.05	28.975	-0.75	internal
9855	4.27	-28.975	-0.75	internal
9898	4.27	28.975	-0.75	internal
9911	5.49	-28.975	-0.75	internal
9954	5.49	28.975	-0.75	internal
9967	6.71	-28.975	-0.75	internal
10010	6.71	28.975	-0.75	internal
10023	7.93	-28.975	-0.75	internal
10066	7.93	28.975	-0.75	internal
10079	9.15	-28.975	-0.75	internal
10122	9.15	28.975	-0.75	internal
10135	10.37	-28.975	-0.75	internal
10178	10.37	28.975	-0.75	internal
10191	11.59	-28.975	-0.75	internal
10234	11.59	28.975	-0.75	internal
10247	12.81	-28.975	-0.75	internal
10290	12.81	28.975	-0.75	internal
10303	14.03	-28.975	-0.75	internal
10346	14.03	28.975	-0.75	internal
10359	15.25	-28.975	-0.75	internal
10402	15.25	28.975	-0.75	internal
10415	16.47	-28.975	-0.75	internal
10458	16.47	28.975	-0.75	internal
10471	17.69	-28.975	-0.75	internal
10514	17.69	28.975	-0.75	internal
10527	18.91	-28.975	-0.75	internal
10570	18.91	28.975	-0.75	internal
10583	20.13	-28.975	-0.75	internal
10626	20.13	28.975	-0.75	internal
10639	21.35	-28.975	-0.75	internal
10682	21.35	28.975	-0.75	internal
10695	22.57	-28.975	-0.75	internal
10738	22.57	28.975	-0.75	internal
10751	23.79	-28.975	-0.75	internal
10794	23.79	28.975	-0.75	internal
10807	25.925	-28.975	-0.75	internal
10850	25.925	28.975	-0.75	internal
10863	28.975	-28.975	-0.75	internal
10864	28.975	-25.925	-0.75	internal
10865	28.975	-23.79	-0.75	internal
10866	28.975	-22.57	-0.75	internal
10867	28.975	-21.35	-0.75	internal
10868	28.975	-20.13	-0.75	internal
10869	28.975	-18.91	-0.75	internal
10870	28.975	-17.69	-0.75	internal
10871	28.975	-16.47	-0.75	internal
10872	28.975	-15.25	-0.75	internal
10873	28.975	-14.03	-0.75	internal
10874	28.975	-12.81	-0.75	internal
10875	28.975	-11.59	-0.75	internal
10876	28.975	-10.37	-0.75	internal
10877	28.975	-9.15	-0.75	internal
10878	28.975	-7.93	-0.75	internal
10879	28.975	-6.71	-0.75	internal
10880	28.975	-5.49	-0.75	internal
10881	28.975	-4.27	-0.75	internal
10882	28.975	-3.05	-0.75	internal
10883	28.975	-1.83	-0.75	internal
10884	28.975	-0.61	-0.75	internal
10885	28.975	0.61	-0.75	internal
10886	28.975	1.83	-0.75	internal
10887	28.975	3.05	-0.75	internal
10888	28.975	4.27	-0.75	internal
10889	28.975	5.49	-0.75	internal
10890	28.975	6.71	-0.75	internal
10891	28.975	7.93	-0.75	internal
10892	28.975	9.15	-0.75	internal
10893	28.975	10.37	-0.75	internal
10894	28.975	11.59	-0.75	internal
10895	28.975	12.81	-0.75	internal
10896	28.975	14.03	-0.75	internal
10897	28.975	15.25	-0.75	internal
10898	28.975	16.47	-0.75	internal
10899	28.975	17.69	-0.75	internal
10900	28.975	18.91	-0.75	internal
10901	28.975	20.13	-0.75	internal
10902	28.975	21.35	-0.75	internal
10903	28.975	22.57	-0.75	internal
10904	28.975	23.79	-0.75	internal
10905	28.975	25.925	-0.75	internal
10906	28.975	28.975	-0.75	internal
11591	-28.975	-28.975	-1.0	internal
11592	-28.975	-25.925	-1.0	internal
11593	-28.975	-23.79	-1.0	internal
11594	-28.975	-22.57	-1.0	internal
11595	-28.975	-21.35	-1.0	internal
11596	-28.975	-20.13	-1.0	internal
11597	-28.975	-18.91	-1.0	internal
11598	-28.975	-17.69	-1.0	internal
11599	-28.975	-16.47	-1.0	internal
11600	-28.975	-15.25	-1.0	internal
11601	-28.975	-14.03	-1.0	internal
11602	-28.975	-12.81	-1.0	internal
11603	-28.975	-11.59	-1.0	internal
11604	-28.975	-10.37	-1.0	internal
11605	-28.975	-9.15	-1.0	internal
11606	-28.975	-7.93	-1.0	internal
11607	-28.975	-6.71	-1.0	internal
11608	-28.975	-5.49	-1.0	internal
11609	-28.975	-4.27	-1.0	internal
